filename,loading_type,fastener_spacing,number_of_fasteners,steel_thickness,sheathing_thickness,sheathing_type,fastener_size,fastener_name,fastener_diameter,steel_ply_fy,steel_ply_fu,E
m54o12-R1.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R2.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R3.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000
m54o12-R4.txt,monotonic,12,8,0.0566,0.4375,OSB Exposure 1,#8,Simpson Strong Tie flathead QuikDrive,0.164,51000,?,29500000